ID,Title,Published At,Category,Default Audio Language,Duration,Definition,Caption,Licensed,Views,Likes,Dislikes,Favorites,Comments,Description
znLBKPOPYWU,你不知道的奧運真相：辦奧運辦到破產！禁藥、賄賂樣樣來⋯⋯我們曾以「台灣」名義出賽奧運？｜驚奇說 #49,2024-07-26T12:01:09Z,27,zh-TW,PT16M53S,hd,FALSE,TRUE,303,23,0,0,0,"2024巴黎奧運再幾個小時就要開幕！每四年舉辦一次的奧林匹克運動會，是全球體育的巔峰盛事，大家都準備好要幫「中華隊」應援了吧？不過，你知道嗎？雖然現在叫「中華台北隊」，但我們曾經是以「台灣」的名義出賽奧運的！ 而且你知道嗎？古時候的奧運居然要「裸體」參賽！？古代奧運和現代奧運中間，還曾經停辦了1500年！ 除此之外，光鮮亮麗的奧運背後，其實還有著許多爭議事件。重點，其實每次辦奧運都賠超多錢！但還是有一堆國家搶著舉辦奧運，到底為什麼？今天，就讓我帶大家一起來破解奧運的真相！
 
🧛 【 限時免費 領取$300元兌換券】👉https://tw.amazingtalker.com/kol/talkshow?ep=knowledge49 （免費領10美金！想學英文不拿嗎？）
🧛 【追蹤 AmazingTalker IG】👉 https://www.instagram.com/amazingtalker/ 
🧛 【加入 官方Line＠】👉 https://lin.ee/v7W31JQ （會有不定時神秘驚喜、粉絲限定影片） 
🧛 【Dr. Eko ✚ Sandra 托福/雅思免費體驗卷】（優惠只限新用戶註冊）
1. 到這裡註冊 👉 https://tw.amazingtalker.com/kol/examclass?ep=knowledge49
2. 10美金 體驗折價券自動送進你的帳號
就是這麼簡單！優惠名額有限，手到搶體驗課！～
========================
找 Eko 老師學英文 👉 https://tw.amazingtalker.com/teachers-and-tutors/eko-veronia-liu?ep=knowledge49
找 Sandra 老師學英文 👉 https://en.amazingtalker.com/teachers-and-tutors/sandralalala0302?ep=knowledge49
在 AmazingTalker 找到你的專屬教師 👉 https://tw.amazingtalker.com/courses/english?ep=knowledge49
任何合作或商業活動，歡迎聯繫我們 😉 ▶ tw-film-team@amazingtalker.com

00:00 奧運開幕
00:42 古代奧運
04:48 重啟奧運
07:39 運動家精神
08:46 奧運爭議
11:13 奧運主辦國
13:59 台灣在奧運會的角色

《製作團隊》
製作人：最美七分編
主持人：最美七分編
企劃：Emily, Penny, Hank
腳本：品喨
拍攝：詠峻

#AmazingTalker #驚奇說 #奧運 #2024＃中華隊"
vPxH9PoegPc,🔍 YouTube搜尋 #驚奇說 ！正片馬上看！#奧運 #歷史 #台灣#AmazingTalker #線上英文家教 #英語 #學英文 #生活英文 #學英語 #英文,2024-07-26T12:01:04Z,27,zh-TW,PT30S,hd,FALSE,TRUE,20,2,0,0,1,
hEkHnoHRnJQ,Bad發音錯 竟超色情？！#short #amazingtalker #線上英文家教 #英語 #學英文 #生活英文 #學英語 #英文,2024-07-25T10:00:54Z,27,zh-TW,PT29S,hd,FALSE,TRUE,1419,46,0,0,1,
99A_qD67unw,熱死了 英文怎麼說？ #short #amazingtalker #線上英文家教 #英語 #學英文 #生活英文 #學英語 #英文,2024-07-24T10:00:12Z,27,zh-TW,PT36S,hd,FALSE,TRUE,22260,647,0,0,21,
XS_PzaFBwow,台灣麥當勞1天賣破全球紀錄！麥當勞是從創辦人搶過來的！｜驚奇說 #48,2024-07-23T12:00:36Z,27,zh-TW,PT12M45S,hd,FALSE,TRUE,10563,209,0,0,14,"其他人的財富自由是：不管了，all in台積電，而你的財富自由卻是：不管了，薯條加大！ 說到薯條，一定就會想到麥當勞啦～你知道美國麥當勞，平均每秒能賣出 17 個大麥克嗎？他們甚至創造出「大麥克指數」，作為衡量各國經濟的標準，但創造這龐大速食帝國的人，竟然只是個普通的奶昔銷售員！？ 另外，你有沒有發現，我們小時候愛吃的快樂兒童餐，還有常常坐在店門口的麥當勞叔叔，現在都不見蹤影了？ 麥當勞叔叔去哪了？麥當勞又是如何成為速食巨頭、成為全民皆愛的速食店呢？大麥克指數又是怎麼運作的？今天就讓我來替大家解答這些疑問吧！ 

🧛 【 限時免費 領取$300元兌換券】👉https://tw.amazingtalker.com/kol/talkshow?ep=knowledge48 （免費領10美金！想學英文不拿嗎？）
🧛 【追蹤 AmazingTalker IG】👉 https://www.instagram.com/amazingtalker/ 
🧛 【加入 官方Line＠】👉 https://lin.ee/v7W31JQ （會有不定時神秘驚喜、粉絲限定影片） 
🧛 【Dr. Eko ✚ Sandra 托福/雅思免費體驗卷】（優惠只限新用戶註冊）
1. 到這裡註冊 👉 https://tw.amazingtalker.com/kol/examclass?ep=knowledge48
2. 10美金 體驗折價券自動送進你的帳號
就是這麼簡單！優惠名額有限，手到搶體驗課！～
========================
找 Eko 老師學英文 👉 https://tw.amazingtalker.com/teachers-and-tutors/eko-veronia-liu?ep=knowledge48
找 Sandra 老師學英文 👉 https://en.amazingtalker.com/teachers-and-tutors/sandralalala0302?ep=knowledge48
在 AmazingTalker 找到你的專屬教師 👉 https://tw.amazingtalker.com/courses/english?ep=knowledge48
任何合作或商業活動，歡迎聯繫我們 😉 ▶ tw-film-team@amazingtalker.com

00:00 速食巨頭麥當勞
00:42 麥當勞是燒烤店！？ 
02:10 雷・克洛克
03:27 速食歡喜冤家
05:47 台灣的麥當勞
07:11 麥當勞叔叔
07:58 麥當勞爭議
09:37 不務正業的麥當勞
10:50 麥當勞企業形象


《製作團隊》
製作人：最美七分編
主持人：最美七分編
企劃：Emily, Penny, Hank
腳本：Jo
拍攝：詠峻
剪輯：Daisy.C

#AmazingTalker #驚奇說 #麥當勞 #漢堡王＃麥當勞叔叔＃玉米濃湯"
Kr9yVEcjwpY,🔍 YouTube搜尋 #驚奇說 ！正片馬上看！#麥當勞 #速食 #薯條#short #amazingtalker #線上英文家教 #英語 #學英文 #生活英文 #學英語 #英文,2024-07-23T12:00:18Z,27,zh-TW,PT42S,hd,FALSE,TRUE,6548,188,0,0,2,
zFSs3Hb6lOo,歡迎光臨 英文怎麼說？ #short #amazingtalker #線上英文家教 #英語 #學英文 #生活英文 #學英語 #英文,2024-07-22T10:00:58Z,27,zh-TW,PT21S,hd,FALSE,TRUE,15870,347,0,0,7,
1nVHmmuA65k,新加坡英文 口音轉換好自如？,2024-07-20T12:00:02Z,27,zh-TW,PT30S,hd,FALSE,TRUE,77402,2112,0,0,6,#閻奕格 #英文 #口音 #reels #AmazingTalker #線上英文家教 #英語
7ZVvTY_4gMo,莎白玩猜俚語 竟吊打台灣人？！,2024-07-19T14:14:57Z,27,zh-TW,PT30S,hd,FALSE,TRUE,94482,3377,0,0,30,#莎白 #口音 #reels #AmazingTalker #線上英文家教 #英語
jtgQWQfsYy8,🔍 YouTube搜尋 #驚奇說 ！正片馬上看！#愛因斯坦 #天才大腦 #種族#short #amazingtalker #線上英文家教 #英語 #學英文 #生活英文 #學英語 #英文,2024-07-19T12:00:51Z,27,zh-TW,PT27S,hd,FALSE,TRUE,60579,1785,0,0,98,
